Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,NL,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,83.86.85.88,South Holland,2021-08-16T18:37:40.435Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.18,Capital Region,2021-08-16T18:25:25.053Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,NL,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,83.86.85.88,South Holland,2021-08-16T14:57:21.337Z
NFCDCH-02-HJMNN08WMTTYK066W3CNTN1N0RHD20,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),83.86.85.88,South Holland,2021-08-16T12:16:15.627Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.59,Capital Region,2021-08-15T20:38:47.103Z
NFAPPL-01-IPAD7=5-912FACCA94BAF436C2E6F513D3D2D318E29DD191F24EB68957A2723B5CCB276B,SE,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,80.216.23.76,Stockholm,2021-08-15T19:36:02.424Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,87.49.44.64,Central Denmark,2021-08-15T01:10:03.887Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.87.153,Capital Region,2021-08-10T22:04:39.162Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.93.153,Capital Region,2021-08-09T21:50:03.097Z
NFANDROID2-PRV-UZX8020CHM1-TECHNTV=HUB-7569-4797F3D821908AEE26AC86F83E2928388EED3098A4794347E13865DDBD75BDE2,SE,Com Hem UZX8020CHM1 MVPD STB,Com Hem UZX8020CHM1 MVPD STB,80.216.23.76,Stockholm,2021-08-09T17:14:52.734Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.32.243.59,Capital Region,2021-08-08T21:38:44.908Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.81.149,Capital Region,2021-08-08T20:25:56.698Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.91.133,Capital Region,2021-08-07T22:56:29.302Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.91.133,Capital Region,2021-08-07T03:03:09.896Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.82.9,Zealand,2021-08-06T22:03:20.785Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,212.237.135.100,Capital Region,2021-08-06T21:08:00.508Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.84.29,Central Denmark,2021-08-05T21:41:08.785Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.87.1,Zealand,2021-08-04T22:05:57.765Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.94.133,Central Denmark,2021-08-03T21:47:20.916Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.80.1,Zealand,2021-08-02T21:34:28.346Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.83.145,Southern Denmark,2021-08-01T21:54:49.908Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,213.32.243.59,Capital Region,2021-08-01T14:46:16.919Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.87.21,Capital Region,2021-08-01T04:33:12.863Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.94.21,Zealand,2021-07-31T22:38:33.298Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.94.21,Zealand,2021-07-31T15:21:29.707Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.89.137,Capital Region,2021-07-29T21:55:39.621Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.84.17,Capital Region,2021-07-28T16:01:02.761Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.84.9,Capital Region,2021-07-27T20:35:21.119Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.84.9,Capital Region,2021-07-27T11:45:42.207Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.84.17,Capital Region,2021-07-26T22:07:13.518Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.90.145,Capital Region,2021-07-25T21:57:25.033Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.91.21,Capital Region,2021-07-24T23:34:16.112Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,213.32.243.59,Capital Region,2021-07-24T12:00:45.450Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,212.237.135.100,Capital Region,2021-07-23T11:47:40.956Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.93.153,Capital Region,2021-07-22T19:25:19.597Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.59,Capital Region,2021-07-22T17:53:14.027Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,213.32.243.59,Capital Region,2021-07-22T11:07:50.009Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.94.1,Capital Region,2021-07-21T20:09:11.681Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.94.1,Capital Region,2021-07-20T22:31:36.717Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.94.13,Capital Region,2021-07-20T22:08:52.498Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.91.13,Capital Region,2021-07-19T21:45:21.513Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,212.237.135.100,Capital Region,2021-07-19T16:15:42.650Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,213.32.243.5,Capital Region,2021-07-19T16:14:54.802Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,212.237.135.100,Capital Region,2021-07-18T21:08:46.950Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.83.137,Capital Region,2021-07-18T16:43:52.349Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,212.237.135.100,Capital Region,2021-07-18T14:50:46.333Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,213.32.243.5,Capital Region,2021-07-18T10:57:25.882Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.85.137,Capital Region,2021-07-18T00:19:09.499Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.93.1,Central Denmark,2021-07-17T00:08:17.599Z
NFANDROID2-PRV-UZX8020CHM1-TECHNTV=HUB-7569-4797F3D821908AEE26AC86F83E2928388EED3098A4794347E13865DDBD75BDE2,SE,Com Hem UZX8020CHM1 MVPD STB,Com Hem UZX8020CHM1 MVPD STB,80.216.73.179,Stockholm,2021-07-16T16:48:19.265Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,213.32.243.5,Capital Region,2021-07-15T15:39:21.651Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.91.153,Capital Region,2021-07-15T15:08:31.768Z
NFAPPL-02-IPHONE10=4-602E1E368D54E71203733D1F44CA71128D5E29E1EA25A757B4643A2096C818E5,NL,Apple iPhone 8 (GSM),Apple iPhone 8 (GSM),109.38.142.155,North Holland,2021-07-14T15:56:43.950Z
NFAPPL-02-IPHONE10=4-602E1E368D54E71203733D1F44CA71128D5E29E1EA25A757B4643A2096C818E5,NL,Apple iPhone 8 (GSM),Apple iPhone 8 (GSM),2001:1c00:e11:f000:210d:f12c:e0e4:386,South Holland,2021-07-13T18:27:46.126Z
SSTV-JZL1-0000000000000006845678,SE,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,80.216.73.179,Stockholm,2021-07-13T17:11:05.027Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.84.98,Central Denmark,2021-07-12T19:18:26.225Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.84.98,Central Denmark,2021-07-12T19:00:33.518Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.83.145,Southern Denmark,2021-07-12T16:10:37.376Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,192.38.134.52,Zealand,2021-07-12T13:49:27.427Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.5,Capital Region,2021-07-11T16:37:15.508Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,RO,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,82.137.29.241,Bucharest,2021-07-10T19:19:10.280Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,192.38.134.52,Zealand,2021-07-08T20:46:42.307Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.92.25,Zealand,2021-07-07T21:37:59.301Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.12,Capital Region,2021-07-06T18:39:12.801Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.95.17,Capital Region,2021-07-05T21:44:28.638Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.35,Capital Region,2021-07-05T19:57:26.345Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,SE,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.64.191.253,Stockholm,2021-07-04T20:41:41.128Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.45,Capital Region,2021-07-04T15:44:47.785Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.88.242,Capital Region,2021-07-03T21:16:14.034Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,SE,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.64.191.253,Stockholm,2021-07-03T20:54:42.051Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.45,Capital Region,2021-07-03T12:57:19.756Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.84.17,Capital Region,2021-07-02T23:02:26.449Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.85.157,Zealand,2021-07-01T21:56:58.656Z
NFAPPL-01-IPAD7=5-912FACCA94BAF436C2E6F513D3D2D318E29DD191F24EB68957A2723B5CCB276B,SE,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,80.216.73.179,Stockholm,2021-07-01T19:10:24.587Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,DK,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,213.32.243.45,Capital Region,2021-07-01T16:25:07.367Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.85.157,Zealand,2021-06-30T22:14:39.897Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.94.21,Zealand,2021-06-30T21:47:20.187Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.8,Capital Region,2021-06-30T18:16:02.274Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.90.25,Capital Region,2021-06-29T21:18:23.297Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.41,Capital Region,2021-06-29T18:37:03.278Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.83.157,Capital Region,2021-06-28T21:19:08.069Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.10,Capital Region,2021-06-28T08:17:47.075Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.59,Capital Region,2021-06-27T21:09:09.004Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.91.153,Capital Region,2021-06-27T19:31:27.875Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.93.153,Capital Region,2021-06-26T22:05:01.383Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.23,Capital Region,2021-06-25T17:59:21.658Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.88.29,Capital Region,2021-06-24T15:30:55.756Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.50,Capital Region,2021-06-24T11:51:58.595Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.80.13,Zealand,2021-06-23T12:07:32.143Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.80.13,Zealand,2021-06-22T21:51:27.063Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.80.153,Southern Denmark,2021-06-22T20:25:15.166Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.80.153,Southern Denmark,2021-06-22T19:00:36.093Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.87.133,Capital Region,2021-06-21T21:31:05.168Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.19,Capital Region,2021-06-21T20:13:39.433Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.83.5,Capital Region,2021-06-20T21:03:30.267Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.10,Capital Region,2021-06-20T17:58:46.183Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.91.1,Capital Region,2021-06-19T22:14:35.553Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.91.1,Capital Region,2021-06-19T22:00:39.462Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.91.21,Capital Region,2021-06-19T08:44:41.593Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.95.9,Zealand,2021-06-18T23:49:14.614Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.84.29,Central Denmark,2021-06-18T10:11:26.214Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.87.1,Zealand,2021-06-17T21:41:44.140Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.87.1,Zealand,2021-06-16T22:01:31.119Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.82.29,Zealand,2021-06-16T21:39:44.778Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.82.29,Zealand,2021-06-16T20:38:33.416Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.10,Capital Region,2021-06-16T19:54:25.043Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.89.5,Capital Region,2021-06-15T22:11:30.098Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.88.149,Capital Region,2021-06-14T16:13:32.388Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.95.141,Capital Region,2021-06-13T21:43:20.494Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.83.157,Capital Region,2021-06-12T21:56:23.282Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.15,Southern Denmark,2021-06-12T17:28:51.216Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.91.153,Capital Region,2021-06-10T21:38:40.466Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.28,Capital Region,2021-06-09T16:50:12.062Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.90.25,Capital Region,2021-06-08T20:03:16.770Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.90.25,Capital Region,2021-06-08T11:03:46.963Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.94.21,Zealand,2021-06-07T21:40:37.556Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.28,Capital Region,2021-06-07T16:17:35.672Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.95.129,Central Denmark,2021-06-06T20:17:07.153Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.18,Capital Region,2021-06-06T10:03:57.222Z
NFAPPL-04-APPLETV6=2-70145801340B6141748AEE9658660D20B210A92524504D38BED55A5C04660B8D,DK,Apple TV 4K,Apple TV 4K,83.89.6.194,Capital Region,2021-06-05T20:35:59.815Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.95.129,Central Denmark,2021-06-04T23:11:49.243Z
